bit,0.02302160363179309,1,133.5576923076923,14
von neumann architecture,0.026490380440217398,2,262.62068965517244,80
john von neumann,0.027390317736227087,3,327.4642857142857,137
dawon kahng,0.03061707388560317,4,318.44,128
input/output,0.03166801107592003,5,185.04629629629628,33
eniac,0.03310670789445797,6,198.85135135135135,39
claude shannon,0.03337730969371842,7,401.50000000000006,194
john wiley & sons,0.03410324177970253,8,300.7857142857143,104
inductor,0.03563595651750342,9,501.5263157894737,264
c++,0.03711840372624664,10,624.5326086956522,309
moore's law,0.037408360319690574,11,200.3846153846154,40
resistor,0.04036422929229835,12,280.3125,91
mit,0.04053458299120302,13,321.77142857142854,130
mohamed atalla,0.040808832062336285,14,506.1428571428571,266
alan turing,0.04205290975611373,15,211.33333333333334,46
vacuum tube,0.0425962033038947,16,125.13186813186813,8
watt,0.04472882717900138,17,389.9375,181
flip-flop (electronics),0.04537968648290983,18,403.3611111111111,195
texas instruments,0.045450031451764315,19,310.1617647058823,115
capacitor,0.04546526366385375,20,312.2222222222222,120
decimal,0.04554449852480684,21,319.6153846153846,129
alternating current,0.04556162216616552,22,397.50000000000006,190
mosfet,0.04593544120368026,23,303.7258064516129,109
cathode ray tube,0.04786855114898324,24,173.68421052631578,26
williams tube,0.04819467085269392,25,343.075,148
hertz,0.0492876207879462,26,350.80882352941177,159
information,0.04932824764812989,27,158.59615384615384,20
voltage,0.0494088857434374,28,290.13953488372096,95
word (data type),0.04947661057653754,29,260.07407407407413,77
multiplication,0.049980023466016384,30,413.5476190476191,203
light-emitting diode,0.0501838046194825,31,348.3703703703704,156
diode,0.050512386999585136,32,312.37499999999994,121
slide rule,0.050720460826089234,33,451.73333333333335,230
ohm,0.051432004143524064,34,736.1666666666666,347
dos,0.053166810040754776,35,483.6296296296297,255
bipolar junction transistor,0.054806919885169884,36,377.75,177
byte,0.05484908818349555,37,205.83,44
floating point,0.055394396043891785,38,544.9333333333333,287
relay,0.05552720173271181,39,248.16666666666666,67
ibm,0.05611906279767846,40,101.61458333333333,3
transistor,0.05627427999411054,41,131.72777777777776,12
crc press,0.056275003000740335,42,421.07500000000005,211
integer,0.056577568231635136,43,456.5322580645161,234
film,0.05771325200529018,44,481.88709677419354,251
hewlett-packard,0.0582888739845611,45,344.8918918918919,150
john bardeen,0.05836626575324332,46,705.0500000000001,338
character (computing),0.059291305847823626,47,592.4615384615385,299
sun microsystems,0.059674680062079,48,435.9354838709677,222
numerical digit,0.0597893110263288,49,391.8055555555556,183
rca,0.059872994693006686,50,308.63461538461536,111
atari st,0.05992089641988072,51,670.4000000000001,325
fairchild semiconductor,0.06069895533406874,52,357.27272727272725,164
algorithm,0.06109488651050096,53,155.43902439024393,18
ram,0.06117634451566537,54,349.0862068965517,158
statistics,0.0613777793316279,55,480.0142857142857,250
punched tape,0.06150382087225155,56,258.00000000000006,76
bcpl,0.06154644081274615,57,1007.5714285714284,421
ferranti,0.06174061185546071,58,864.2500000000001,388
integrated circuit,0.0619019819325381,59,131.6404958677686,11
semiconductor,0.061967763860774475,60,247.12295081967213,66
basic,0.06275075491697196,61,411.3269230769231,200
germanium,0.06330951286758449,62,712.1562500000001,340
artificial intelligence,0.06337232896497615,63,260.821052631579,78
local area network,0.06338092251656305,64,217.05952380952382,51
bell labs,0.06349352049993183,65,195.34821428571428,37
logic gate,0.06386961284049399,66,359.09523809523813,166
binary number,0.06419904727481922,67,395.6388888888889,186
negation,0.06434143355963025,68,1082.5714285714287,437
email,0.06438616869182974,69,355.70000000000005,162
manufacturing,0.064404970413893,70,397.50000000000006,189
silicon-gate,0.0650554738718714,71,629.2727272727273,310
ieee,0.06529082890871171,72,311.5178571428571,117
c (programming language),0.06553750621338145,73,511.8857142857143,269
manchester mark 1,0.0655408106798744,74,973.1428571428571,409
instruction set,0.06569751972263776,75,398.68749999999994,192
laser,0.0658775882767694,76,292.1375,97
scsi,0.06598973818114648,77,348.82608695652175,157
peripheral,0.06601655163988203,78,193.7236842105263,35
design,0.06610871274237977,79,277.1785714285714,89
amplifier,0.06666897827052977,80,392.90000000000003,185
automation,0.06697341929451882,81,278.2037037037037,90
speech recognition,0.06713488343567679,82,495.8235294117647,260
philips,0.06735822835111349,83,537.3823529411764,284
general electric,0.06760227672292901,84,397.84,191
word (computer architecture),0.06761301003064016,85,467.79999999999995,238
radar,0.06773691736356073,86,316.75531914893617,124
z3 (computer),0.06802181195558257,87,524.6538461538462,276
sound,0.06827252721228566,88,453.92499999999995,232
motorola,0.06831476672150591,89,419.15217391304344,208
intel,0.06874807363733533,90,225.88383838383837,58
electric current,0.06921450716572143,91,470.8870967741935,244
optical fiber,0.069521476865562,92,395.8636363636364,187
radio,0.06974799930411085,93,163.66666666666666,23
central processing unit,0.06984749847150441,94,182.58943089430895,32
intel 4004,0.06990954646346248,95,314.6521739130435,122
burroughs corporation,0.07002775911669447,96,579.375,296
automobile,0.07026085978874153,97,270.02777777777777,85
telephone,0.07043399657786384,98,171.14423076923077,24
loudspeaker,0.07056946377065229,99,623.6999999999999,308
invention,0.07061300004626839,100,602.9583333333333,302
ncr corporation,0.07061413457891899,101,858.5000000000001,385
exponentiation,0.0707155603776608,102,660.4999999999999,321
subsidiary,0.07072142061920769,103,905.1999999999999,397
punched card,0.07130368056965626,104,216.16666666666666,50
institute of electrical and electronics engineers,0.0716071471074546,105,293.5909090909091,98
differential signaling,0.07184477563148789,106,860.3125000000001,386
electric motor,0.07202038468369837,107,421.16,212
compiler,0.07232264756476542,108,371.05681818181813,172
